latitude,State,Rack ID,City,longitude,OPIS Truckstop ID,Retail Price,Address,Truckstop Name
39.5214373,IN,375,Shelbyville,-85.7769238,1156,3.599,"I-74/US-421, EXIT 116 & SR-44",CIRCLE K #4700028
39.430915200554665,IN,510,Terre Haute                             ,-87.33304551233962,1157,3.43566666,"I-70, EXIT 11 & SR-46",One9 #297
41.49691809975681,IN,365,Valparaiso,-87.02230093430606,1158,3.869,US-30  & SR-49,PILOT TRAVEL CENTERS #36
41.49691809975681,IN,365,Valparaiso,-87.02230093430606,1158,3.859,US-30  & SR-49,PILOT TRAVEL CENTER #36
38.41023,KS,553,Emporia,-96.22089,1163,2.839,US-54,SHORT STOP #13
38.2099837,KY,410,Georgetown,-84.5597128,1176,3.20566666,"I-75, EXIT 129",PILOT TRAVEL CENTERS #353
37.839258,KY,415,Lebanon Junction,-85.722006,1179,3.609,"I-65, EXIT 105",PILOT TRAVEL CENTERS #399
30.7807244,LA,725,Saint Francisville,-91.3763353,1196,3.384,US-61 & SR-964,SOUTHERN BELLE TRUCK STOP
42.523485,MA,178,Leominster,-71.76929,1199,3.68233333,"I-190, EXIT 7",ALLTOWN MARKETS #306
39.5594191,MD,22,Perryville,-76.0732254,1202,3.599,"I-95, EXIT 93 & SR-222",ONE9 #290
39.1201433,IL,574,Effingham,-88.54348,1204,3.549,"I-70 & I-57, EXIT 159",PETRO STOPPING CENTER #321
39.1201433,IL,574,Effingham,-88.54348,1204,3.349,"I-70 & I-57, EXIT 159",PETRO STOPPING CENTER #321
39.1201433,IL,574,Effingham,-88.54348,1204,3.439,"I-70 & I-57, EXIT 159",PETRO STOPPING CENTER #321
39.1201433,IL,574,Effingham,-88.54348,1204,3.399,"I-70 & I-57, EXIT 159",PETRO STOPPING CENTER #321
42.24096717457462,MI,465,Kalamazoo,-85.63920229338551,1208,3.499,US-131,D AVENUE FUEL PLAZA
42.24096717457462,MI,465,Kalamazoo,-85.63920229338551,1208,3.099,US-131,D AVENUE FUEL PLAZA
42.2178171,MI,465,Paw Paw                                 ,-85.8911246,1210,3.599,"I-94, EXIT 56 & SR-51",ROADHAWK TRAVEL CENTER
42.2178171,MI,465,Paw Paw                                 ,-85.8911246,1210,3.559,"I-94, EXIT 56 & SR-51",ROADHAWK TRAVEL CENTER
43.6679992,MN,515,Austin,-92.9746498,1217,3.374,"I-90, EXIT 179",KWIK TRIP #250
46.333146,MN,522,Pillager,-94.480275,1218,3.299,SR-210,CASEYS #3658
39.3478278,MO,494,Bowling Green,-91.2067693,1225,3.01566666,US-61 & US-61 BUS,AYERCO #35
37.49377249025292,MO,416,Lamar,-94.29841247899547,1234,3.199,US-71 & US-160,Lamar Travel Plaza
39.7942213,MO,494,Palmyra,-91.5232557,1236,3.01566666,US-36 & US-24,AYERCO #44
38.723748631549945,MO,400,Sedalia,-93.24134950777646,1240,3.199,US-65,TEMP STOP #103
36.781785247664665,MO,535,West Plains,-91.89091646557353,1247,3.299,US-63 & SR-14,SNAPPY MART #11
34.89758567635827,MS,435,Corinth,-88.47205244195013,1251,3.154,US-72,MAPCO #3009
33.2693039,MS,655,Greenville,-91.2199323,1256,3.25566666,US-82/US-278,DOUBLE QUICK #89
34.8281516,MS,435,Red Banks,-89.5645253,1265,2.97233333,US-78 & RED BANKS RD S,JOE JOES TRAVEL CENTER
36.0959715,NC,65,Mebane,-79.2669619,1304,3.94733333,"I-85, EXIT 152",LOVES TRAVEL STOP #667
35.52237,NC,177,Sanford,-79.183315,1315,3.08233333,US-421 BUS & US-15/US-501/US-1,CIRCLE K #2720218
34.224766,NC,245,Wilmington,-77.946123,1325,3.629,US-421 & US-74,SCOTCHMAN #3303
35.75516755,NC,205,Wilson,-78.03920721442115,1326,3.199,US-301/US-264 ALT & CR-1674,SPEEDWAY #7949
40.89787005278801,NE,330,Grand Island,-98.41707360349623,1333,3.30733333,US-30,PUMP & PANTRY #15
40.1393864,NJ,230,Bordentown,-74.70271190655937,1340,3.499,"NJ TNPK, EXIT 7 & US-206",BORDENTOWN VALERO
40.8837102,NJ,115,Fairfield,-74.3059823,1342,3.20233333,"I-80, EXIT 47B",Delta
41.10719028274046,NJ,115,Mahwah,-74.14984967926439,1344,3.53233333,US-202 & SR-17,BOLLA TRUCK STOP #193
40.0070565,NJ,150,Palmyra,-75.0282271,1348,3.359,SR-73,GLOBAL
35.1697175,NM,580,Milan,-107.8908919,1356,3.59066666,"I-40 & HORIZON, EXIT 79",LOVES TRAVEL STOP #257
41.6745495,IN,465,Rolling Prairie,-86.6160192,1364,3.98233333,"I-80/I-90, MM 56 WB",7- ELEVEN #40507
40.7985464,OH,249,Canton,-81.3749508,1372,3.62233333,"I-77, EXIT 101 & SR-627",PILOT TRAVEL CENTER #469
40.7399785,OH,411,Lima                                    ,-84.105006,1376,3.08566666,"I-75, EXIT 118",FUEL MART #782
41.010077,OH,305,Seville,-81.8622222,1379,3.739,"I-71, EXIT 209 & I-76/US-224, EXIT 1",TA LODI TRAVEL CENTER
41.579868331456616,OH,550,Montpelier,-84.55579213419172,1384,3.41566666,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",SUNOCO
36.5289239,OK,500,Billings,-97.4439362,1391,3.21566666,"I-35, EXIT 203 & SR-15",ONCUE EXPRESS #2045
35.5156056,OK,483,Clinton                                 ,-98.9673069,1395,3.099,"I-40, EXIT 66",DOMINO FOOD AND FUEL #1
42.564977,NY,38,Irving,-79.110179,1560,2.999,US-20 & SR-5,CATTREZ
35.7814547,TN,435,Wildersville                            ,-88.3603243,1562,3.099,"I-40, EXIT 108",I MART #108
41.5868654,IA,320,Des Moines,-93.6249494,1567,3.02733333,"I-235, EXIT 11",KUM & GO #4110
46.0131505,MT,816,Butte                                   ,-112.536508,1579,3.56566666,"I-15, EXIT 122 & I-90 MM220",FLYING J TRAVEL PLAZA #924- TOWN PUMP
35.20729,TX,585,Amarillo,-101.8371192,1582,3.314,I-40 EXIT 60,LOVES TRAVEL STOP #250
32.3187158,TX,710,Andrews,-102.545715,1585,3.369,US-385 & CR-1910,Stripes 7Fleet #42498
41.5750369,IN,365,Lake Station,-87.2389246,1590,3.559,"I-80 & I-94, EXIT 15-A",ROAD RANGER #240
35.480487,NM,580,Jamestown,-108.430767,1596,3.44233333,"I-40, EXIT 39",FLYING J #305
40.1827171,PA,165,Eighty Four,-80.1331455,1597,4.999,"I-70 & SR-519, EXIT 25/333",7-ELEVEN #36156
38.426428,NY,220,Mc Graw,-116.5808,1599,3.439,"I-81, EXIT 10",ONVO TRAVEL PLAZA
38.426428,NY,220,Mc Graw,-116.5808,1599,3.459,"I-81, EXIT 10",ONVO TRAVEL PLAZA
31.15506675811277,MS,620,Beaumont,-88.91211772746374,1602,3.56566666,US-98,CIRCLE K #2723387
48.0517429,WA,962,Marysville,-122.1768209,1606,4.559,"I-5, EXIT 202",DONNAS TRAVEL PLAZA
39.2908816,MD,22,Baltimore                               ,-76.610759,1610,4.759,"I-95, EXIT 57",TA BALTIMORE TRAVEL CENTER
38.820415,WV,44,Ripley                                  ,-81.726704,1618,3.499,US-33,GO MART FOOD STORE #33
33.5206824,AL,615,Birmingham                              ,-86.8024326,1621,3.489,"I-65, EXIT 262B",CIRCLE K #2709337
33.2101155,TX,630,Bridgeport,-97.7547552,1622,2.78233333,US-380 & SR-114/SR-101,RACEWAY #6973
39.8083196,CO,800,Commerce City,-104.9338675,1623,3.389,"I-70 & I-270, EXIT 278",SAPP BROS TRAVEL CENTER
33.325177,SC,42,Bowman                                  ,-80.571263,1625,3.43233333,"I-26, EXIT 159",PILOT TRAVEL CENTERS #60
32.3140354,NM,640,Las Cruces                              ,-106.779807,1632,3.19066666,"I-10, EXIT 139 & SR-292",PILOT TRAVEL CENTERS #266
29.286868,TX,740,Von Ormy,-98.6482144,1633,3.109,"I-35, EXIT 144",7-ELEVEN #36302
42.898729,WI,444,Oak Creek,-87.9177966,1634,3.889,"I-94, EXIT 322",PILOT TRAVEL CENTERS #40
32.441615,TX,575,Roscoe,-100.539297,1644,2.929,"I-20, EXIT 235",ALLSUPS CONVENIENCE STORE #2414
41.3436555,IN,465,Plymouth,-86.3097278,1646,3.609,US-6  & US-31,SPEEDWAY #8310
41.6173959,IN,290,Hammond,-87.5220108,1647,3.76566666,US-41 & SR-312,SPEEDWAY #8305
41.8755616,IL,520,Chicago,-87.6244212,1653,3.569,"I-55, EXIT 289",ROAD RANGER #187
41.8755616,IL,520,Chicago,-87.6244212,1653,3.599,"I-55, EXIT 289",ROAD RANGER #187
30.8532454,TX,670,Cameron,-96.9769304,1654,2.989,US-77/US190/SR-36,CEFCO #3
32.5126469,LA,590,Calhoun,-92.3584744,1661,3.159,"I-20, EXIT 101 & SR-151",CHEVRON
42.9478357,NY,12,Fultonville,-74.3699085,1669,3.149,"I-90, EXIT 28",BETTY BEAVERS TRUCKSTOP
42.9478357,NY,12,Fultonville,-74.3699085,1669,3.189,"I-90, EXIT 28",BETTY BEAVERS TRUCKSTOP
37.0841838,MO,277,Joplin,-94.5133385,1670,3.449,"I-44, EXIT 4 & SR-3",Petro Stopping Center #54
35.3076902,NC,205,Dunn,-78.6093257,1671,3.699,"I-95, EXIT 77",LOVES TRAVEL STOP #412
35.20729,TX,585,Amarillo,-101.8371192,1672,2.899,"I-40,  EXIT 77",HANA TRAVEL PLAZA
33.170482,AL,615,Sylacauga,-86.2514099,1699,3.799,US-280/US-231/SR-53/SR-38 & CR-8/CR-34,ALLENS FOOD MART280
33.0438587078465,TX,723,Daingerfield,-94.72601027255804,1700,3.109,US-259/SR-49,TOPPS FUEL STOPS
37.0430812,KS,585,Liberal,-100.920999,1720,3.01566666,US-54 & S WESTERN AVE,TOOT N TOTUM #120
30.4368977,TX,610,Buna                                    ,-93.964566,1749,3.149,US-96 & SR-62/FM-1004,HIGHWAY 96 FUEL STOP
31.88993015,TX,765,Abbott,-97.08708306334232,1753,2.899,"I-35/US-77, EXIT 359 & CR-1304",PWI #169
43.395583,MI,344,Howard City,-85.467815,1773,3.199,"US-131, EXIT 120 & SR-46",M-46 AUTO TRUCK PLAZA
43.395583,MI,344,Howard City,-85.467815,1773,3.599,"US-131, EXIT 120 & SR-46",M-46 AUTO TRUCK PLAZA
43.395583,MI,344,Howard City,-85.467815,1773,3.099,"US-131, EXIT 120 & SR-46",M-46 AUTO TRUCK PLAZA
31.9973662,TX,710,Midland                                 ,-102.077948,1791,3.56566666,"I-20, EXIT 126 & FM-1788",PILOT TRAVEL CENTERS #257
35.3454847,TX,585,Panhandle,-101.3804082,1807,3.314,I-40 EXIT 96 & SR-207,LOVES TRAVEL STOP #229
36.44197249272347,TX,585,Perryton,-100.8029033644108,1810,2.999,US-83,KENT KWIK #804
27.2436957,FL,143,Okeechobee,-80.8287487,1829,3.719,"SR- 60 & FL TURNPIKE, EXIT 193",PILOT TRAVEL CENTERS #96
27.2436957,FL,143,Okeechobee,-80.8287487,1829,3.699,"SR- 60 & FL TURNPIKE, EXIT 193",PILOT TRAVEL CENTER #96
31.321704,MS,620,Hattiesburg,-89.328913,1832,3.299,US-49,CORNER FUEL CENTER
32.5447756,TX,766,Marshall,-94.3661004,1834,2.899,"I-20, EXIT 617 & US-59",PUMP N PANTRY #15
31.5191015,TX,740,San Angelo,-100.3574008,1849,3.244,US-67/US-277,Stripes #42457
42.846466073958005,MI,344,Byron Center,-85.67837615356038,1855,3.499,US-131,EXIT 76 AUTO TRUCK PLAZA
29.4246002,TX,740,San Antonio                             ,-98.4951405,1858,3.224,"I-10, EXIT 583",FLYING J TRAVEL PLAZA #737
38.6641653,WV,44,Sutton,-80.7093066,1859,3.559,"I-79, EXIT 67 & US-19/SR-4",GO MART FOOD STORE #44
38.8756194,KY,300,Walton,-84.6102213,1860,3.019,"I-75/71, EXIT 175 & SR-338",MR FUEL #278
35.225783,AZ,910,Kingman,-114.003473,1861,3.899,"I-40, EXIT 66",PETRO STOPPING CENTER #315
42.1167065,MI,465,Benton Harbor                           ,-86.4541894,1866,3.799,"I-94, EXIT 29",PRI MART FUEL CENTER
42.1167065,MI,465,Benton Harbor                           ,-86.4541894,1866,3.499,"I-94, EXIT 29",PRI MART FUEL CENTER
41.8297694,MI,465,Niles,-86.2541768,1873,3.749,"US-12 & US-31, EXIT 3",JDS TRUCKSTOP
41.8297694,MI,465,Niles,-86.2541768,1873,3.849,"US-12 & US-31, EXIT 3",JDS TRUCKSTOP
32.64382584934051,TX,630,Seagoville,-96.5147050631305,1874,2.95066666,US-175,CIRCLE K #2744529
44.650051,MN,448,Lakeville,-93.2432791,1879,3.549,"I-35, EXIT 81 & SR-70",HOLIDAY STATIONSTORE #3552
31.836906175376978,TX,710,Sterling City,-100.99907430341524,1888,3.28066666,US-87,STRIPES 7FLEET #42449
36.385191831998746,TX,585,Stratford,-102.12370902787484,1889,2.96566666,US-54 & US-287,TOOT N TOTUM #105
32.7359626,TX,637,Terrell                                 ,-96.2752569,1893,2.87066666,"I-20, EXIT 509",MIKE MCDONALD TRUCK STOP
28.4647614,TX,747,Three Rivers,-98.1809755,1894,3.06566666,"I-37 & SR-72, EXIT 69",CIRCLE K #2741544
32.4545421,TX,575,Tye,-99.8685101,1897,2.87566666,"I-20/US-84, EXIT 278",YESWAY #1077
33.673905,TX,630,Whitesboro                              ,-96.892328,1905,2.88566666,US-82,LUCKY TRUCK STOP
37.6774238,UT,791,Cedar City,-113.061827,1909,3.459,"I-15, EXIT 62",RALLYSTOP #1
38.9952294,UT,835,Green River,-110.161725,1914,3.709,"I-70, EXIT 160",LOVES TRAVEL STOP #792
40.6460921,UT,835,Park City,-111.4979963,1921,3.45233333,"I-80, EXIT 146",BELL TRUCK STOP
38.957742,UT,835,Salina,-111.859984,1923,3.459,"I-70, EXIT 54 & US-89",SCENIC QUIK STOP
37.26705,KS,570,Wellington,-97.421017,1930,3.299,"I-35, EXIT 19 & US-160 E",CASEYS #3058
40.8745737,UT,835,Woods Cross                             ,-111.9017264,1931,3.459,"I-15, EXIT 320",RBS ONE STOP
